Carbon sequestration losses,Low (£30 tCm¯²),High Low (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High Low (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High Low (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,,High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm²),High  (£90 tCm²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²),Carbon sequestration losses,Low (£30 tCm¯²),High  (£90 tCm¯²)
Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0,Pasture,"£135,000","£405,000",Pasture,"£23,676,000.00","£71,028,000",Pasture,"£157,701,000","£473,103,000",Pasture,£0,£0,Pasture,£0,£0,Pasture,"£600,000","£1,800,000",Pasture,"£6,000","£18,000",Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0,Pasture,£0,£0
Cropland,"£37,800","£113,400",Cropland,"£37,251,900","£111,755,700",Cropland,"£1,015,200","£3,045,600",Cropland,£0,£0,Cropland,,£0,Cropland,"£43,281,000","£129,843,000",Cropland,"£15,876,000","£47,628,000",Cropland,£0,£0,Cropland,"£3,385,908","£10,157,724",Cropland,"£6,615,000","£19,845,000",Cropland,"£3,596,643","£10,789,929",Cropland,"£699,300","£2,097,900",Cropland,"£9,672,267","£29,016,802",Cropland,£0,£0,Cropland,£0,£0,Cropland,£0,£0,Cropland,£0,£0,Cropland,£0,£0
Forest,£0,£0,Forest,£0,£0,Forest,£0,£0,Forest,£0,£0,Forest,"£2,060,100.00","£6,180,300",Forest,£0,£0,Forest,£0,£0,Forest,£0,£0,Forest,"£256,629,600","£769,888,800",Forest,£0,£0,Forest,£0,£0,Forest,£0,£0,Forest,"£1,831,200","£5,493,600",Forest,"£555,900","£1,667,700",Forest,"£3,564,300","£10,692,900",Forest,"£55,818,900","£167,456,700",Forest,"£3,335,400","£10,006,200",Forest,"£58,860","£176,580"
Total Reparation Costs,"£107,800","£183,400",Total Reparation Costs,"£51,048,900","£125,552,700",Total Reparation Costs,"£1,391,200","£3,421,600",Total Reparation Costs,"£540,000","£810,000",Total Reparation Costs,"£34,100,600","£85,572,800",Total Reparation Costs,"£395,168,000","£797,132,000",Total Reparation Costs,"£18,816,000","£50,568,000",Total Reparation Costs,£0,£0,Total Reparation Costs,"£306,022,508","£827,253,524",Total Reparation Costs,"£18,873,000","£32,115,000",Total Reparation Costs,"£15,338,643","£22,531,929",Total Reparation Costs,"£958,300","£2,356,900",Total Reparation Costs,"£33,746,467","£56,753,402",Total Reparation Costs,"£598,400","£1,710,200",Total Reparation Costs,"£3,836,800","£10,965,400",Total Reparation Costs,"£68,621,400","£180,259,200",Total Reparation Costs,"£4,100,400","£10,771,200",Total Reparation Costs,"£64,260","£181,980"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Reparation Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 1,"£107,800.00","£183,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 2,"£51,048,900.00","£125,552,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 3,"£1,391,200.00","£3,421,600.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 4,"£540,000.00","£810,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 5,"£34,100,600.00","£85,572,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 6,"£395,168,000.00","£797,132,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 7,"£18,816,000.00","£50,568,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 8,£0.00,£0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 9,"£306,022,508.00","£827,253,524.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 10,"£18,873,000.00","£32,115,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 11A,"£15,338,643.00","£22,531,929.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 11B,"£958,300.00","£2,356,900.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 12,"£33,746,467.24","£56,753,401.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 13,"£598,400.00","£1,710,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 14,"£3,836,800.00","£10,965,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 15,"£68,621,400.00","£180,259,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 16,"£4,100,400.00","£10,771,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run 17,"£64,260.00","£181,980.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
